"","propertyToResolve","resolveTo","uid","format.status.","format.Exiftool.7.74.","format.Jhove.1.5.","format.file.utility.5.03.","format.Droid.3.0.","format.NLNZ.Metadata.Extractor.3.4GA.","format.ffident.0.2.","format.OIS.XML.Metadata.0.2.","mimetype.status.","mimetype.Exiftool.7.74.","mimetype.Jhove.1.5.","mimetype.file.utility.5.03.","mimetype.Droid.3.0.","mimetype.NLNZ.Metadata.Extractor.3.4GA.","mimetype.ffident.0.2.","mimetype.OIS.XML.Metadata.0.2.","puid.status.","puid.Droid.3.0.","format_version.status.","format_version.Exiftool.7.74.","format_version.Jhove.1.5.","format_version.file.utility.5.03.","format_version.Droid.3.0.","format_version.NLNZ.Metadata.Extractor.3.4GA.","size.status.","lastmodified.status.","lastmodified.Exiftool.7.74.","file_path.status.","file_path.OIS.File.Information.0.1.","file_name.status.","file_name.OIS.File.Information.0.1.","checksum_md5.status.","checksum_md5.OIS.File.Information.0.1.","created.status.","created.Exiftool.7.74.","created.NLNZ.Metadata.Extractor.3.4GA.","lastmodified_fs.status.","lastmodified_fs.OIS.File.Information.0.1.","creating_application_name.status.","creating_application_name.Exiftool.7.74.","creating_application_name.NLNZ.Metadata.Extractor.3.4GA.","wellformed.status.","valid.status.","message.status.","message.Jhove.1.5.","created_year.status.","created_year.C3PO.0.6.","markupbasis.status.","markupbasis.Jhove.1.5.","markupBasisVersion.status.","markupBasisVersion.Jhove.1.5.","pagecount.status.","is_rightsmanaged.status.","is_protected.status.","content_type.status.","content_type.C3PO.0.6.","file_extension.status.","file_extension.C3PO.0.6.","charset.status.","charset.Exiftool.7.74.","charset.Jhove.1.5.","charset.file.utility.5.03.","charset.NLNZ.Metadata.Extractor.3.4GA.","linebreak.status.","linebreak.Jhove.1.5.","linebreak.file.utility.5.03.","title.status.","title.Exiftool.7.74.","title.NLNZ.Metadata.Extractor.3.4GA.","author.status.","author.Exiftool.7.74.","author.NLNZ.Metadata.Extractor.3.4GA.","creating_application_version.status.","creating_application_version.Exiftool.7.74.","wordcount.status.","charactercount.status.","language.status.","language.NLNZ.Metadata.Extractor.3.4GA.","creating_os.status.","creating_os.file.utility.5.03.","scanner_softwarename.status.","scanner_softwarename.Exiftool.7.74."
"11","format","Microsoft Powerpoint Presentation","/home/petrov/taverna/tmp/893/893067.ppt","CONFLICT","PPT","","","Microsoft Powerpoint Presentation","","","","CONFLICT","application/vnd.ms-powerpoint","","","application/vnd.ms-powerpoint","","","","CONFLICT","fmt/126","CONFLICT","","","","97-2002","","SINGLE_RESULT","SINGLE_RESULT","Sat Jan 28 04:48:55 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893067.ppt","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893067.ppt","SINGLE_RESULT","2c763b256a58f13c5dc33baa5d93d7db","","","","SINGLE_RESULT","Sat Jan 28 04:48:55 CET 2012","","","","","","","","","","","","","","","","","CONFLICT","Document","SINGLE_RESULT","ppt","","","","","","","","","","","","","","","","","","","","","","","",""
"12","format","Hypertext Markup Language","/home/petrov/taverna/tmp/893/893860.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Sat Jan 28 04:48:34 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893860.html","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893860.html","SINGLE_RESULT","05ca004ed038bce9bd119eda69104c09","","","","SINGLE_RESULT","Sat Jan 28 04:48:34 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","SINGLE_RESULT","Close tag without matching open tag Name = p Line = 159 Column = 10","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","iso-8859-1","","","","","","","","","","","","","","","","","","","","",""
"13","format","Hypertext Markup Language","/home/petrov/taverna/tmp/893/893585.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Sat Jan 28 04:48:48 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893585.html","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893585.html","SINGLE_RESULT","72b7ce6011f41b3a2a1ba9fbe6a0acaa","","","","SINGLE_RESULT","Sat Jan 28 04:48:48 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","SINGLE_RESULT","Unknown tag Name = embed Line = 67 Column = 8","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","iso-8859-1","","","","","","","","","","","","","","","","","","","","",""
"14","format","Hypertext Markup Language","/home/petrov/taverna/tmp/880/880289.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Fri Jan 27 17:58:53 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880289.html","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880289.html","SINGLE_RESULT","e7479abd691c4db5ec4ebe43929692f4","","","","SINGLE_RESULT","Fri Jan 27 17:58:53 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","SINGLE_RESULT","Undefined attribute for element Name = h6 Attribute = align Line = 294 Column = 5","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","windows-1252","","","","","","","","","","","","","","","","","","","","",""
"15","format","Hypertext Markup Language","/home/petrov/taverna/tmp/880/880227.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Fri Jan 27 17:59:04 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880227.html","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880227.html","SINGLE_RESULT","949d9736a61f9e1595a3cbe30e54c918","","","","SINGLE_RESULT","Fri Jan 27 17:59:04 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","SINGLE_RESULT","Missing required attribute Tag = img Attribute = alt Line = 228 Column = 26","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","iso-8859-1","","","","","","","","","","","","","","","","","","","","",""
"16","format","Hypertext Markup Language","/home/petrov/taverna/tmp/880/880577.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Fri Jan 27 17:59:03 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880577.html","SINGLE_RESULT","/home/petrov/taverna/tmp/880/880577.html","SINGLE_RESULT","ded29a7a7a98b9acd566cbeca554ff2d","","","","SINGLE_RESULT","Fri Jan 27 17:59:03 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","SINGLE_RESULT","Undefined attribute for element Name = td Attribute = background Line = 1 Column = 9023","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","UTF-8","","","","","","","","","","","","","","","","","","","","",""
"17","format","Hypertext Markup Language","/home/petrov/taverna/tmp/890/890707.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Sat Jan 28 01:37:56 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/890/890707.html","SINGLE_RESULT","/home/petrov/taverna/tmp/890/890707.html","SINGLE_RESULT","c166ef1f6994ee79aefad896894cc0ed","","","","SINGLE_RESULT","Sat Jan 28 01:37:56 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","iso-8859-1","","","","","","","","","","","","","","","","","","","","",""
"18","format","Hypertext Markup Language","/home/petrov/taverna/tmp/873/873028.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Fri Jan 27 11:27:25 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/873/873028.html","SINGLE_RESULT","/home/petrov/taverna/tmp/873/873028.html","SINGLE_RESULT","7c525a6bea1f430ab44f7cc4b6e5696c","","","","SINGLE_RESULT","Fri Jan 27 11:27:25 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","iso-8859-1","","","","","","","","","","","","","","","","","","","","",""
"19","format","Hypertext Markup Language","/home/petrov/taverna/tmp/878/878733.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Fri Jan 27 15:59:12 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/878/878733.html","SINGLE_RESULT","/home/petrov/taverna/tmp/878/878733.html","SINGLE_RESULT","4d19fafa6d4a3be4054cfac4bc06f2cc","","","","SINGLE_RESULT","Fri Jan 27 15:59:12 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","UTF-8","","","","","","","","","","","","","","","","","","","","",""
"20","format","Hypertext Markup Language","/home/petrov/taverna/tmp/892/892093.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Sat Jan 28 03:46:21 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/892/892093.html","SINGLE_RESULT","/home/petrov/taverna/tmp/892/892093.html","SINGLE_RESULT","209202fbd3280cb3d1e7dc332e8e6f81","","","","SINGLE_RESULT","Sat Jan 28 03:46:21 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","UTF-8","","","","","","","","","","","","","","","","","","","","",""
"21","format","Hypertext Markup Language","/home/petrov/taverna/tmp/860/860346.html","CONFLICT","Hypertext Markup Language","HTML Transitional","","Hypertext Markup Language","Hypertext Markup Language","Hypertext Markup Language","","CONFLICT","text/html","text/html","","text/html","text/html","text/html","","CONFLICT","fmt/100","CONFLICT","","HTML 4.01","","4.01","","","SINGLE_RESULT","Thu Jan 26 22:53:57 CET 2012","SINGLE_RESULT","/home/petrov/taverna/tmp/860/860346.html","SINGLE_RESULT","/home/petrov/taverna/tmp/860/860346.html","SINGLE_RESULT","2663a0c039a422719eab5a3759f9f223","","","","SINGLE_RESULT","Thu Jan 26 22:53:57 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","SINGLE_RESULT","HTML","SINGLE_RESULT","HTML 4.01","","","","CONFLICT","Document","SINGLE_RESULT","html","SINGLE_RESULT","","ISO-8859-1","","","","","","","","","","","","","","","","","","","","",""
"22","format","Plain text","/home/petrov/taverna/tmp/893/893154.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893154.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893154.csv","SINGLE_RESULT","1941bc2f5f3325b28b5994252e9d6a36","","","","SINGLE_RESULT","Sat Jan 28 04:48:08 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","SINGLE_RESULT","LF","","","","","","","","","","","","","","","","",""
"23","format","Plain text","/home/petrov/taverna/tmp/893/893493.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893493.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893493.csv","SINGLE_RESULT","5dabeb9c3472f4cefba7757e2edfcebb","","","","SINGLE_RESULT","Sat Jan 28 04:48:49 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","SINGLE_RESULT","LF","","","","","","","","","","","","","","","","",""
"24","format","Plain text","/home/petrov/taverna/tmp/893/893153.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893153.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893153.csv","SINGLE_RESULT","b46b64cf8209f6211eeb32f631d6356a","","","","SINGLE_RESULT","Sat Jan 28 04:48:05 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","","CR/LF","","","","","","","","","","","","","","","","",""
"25","format","Plain text","/home/petrov/taverna/tmp/893/893615.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893615.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893615.csv","SINGLE_RESULT","979e1862f54145fb325d2d94835bd9e0","","","","SINGLE_RESULT","Sat Jan 28 04:48:34 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","","CR/LF","","","","","","","","","","","","","","","","",""
"26","format","Plain text","/home/petrov/taverna/tmp/893/893383.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893383.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893383.csv","SINGLE_RESULT","ef88dfc08a6fe68df9636d924b534e96","","","","SINGLE_RESULT","Sat Jan 28 04:48:08 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","","CR/LF","","","","","","","","","","","","","","","","",""
"27","format","Plain text","/home/petrov/taverna/tmp/893/893506.csv","CONFLICT","","Plain text","Plain text","Comma Separated Values","","","","CONFLICT","","text/plain","text/plain","text/csv","","","","CONFLICT","x-fmt/18","","","","","","","","","","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893506.csv","SINGLE_RESULT","/home/petrov/taverna/tmp/893/893506.csv","SINGLE_RESULT","0837e342a4b72ea5c36738094a73d910","","","","SINGLE_RESULT","Sat Jan 28 04:48:25 CET 2012","","","","SINGLE_RESULT","SINGLE_RESULT","","","","","","","","","","","","CONFLICT","","SINGLE_RESULT","csv","","","US-ASCII","","","","CR/LF","","","","","","","","","","","","","","","","",""
